repositoryGitHubSlug,npmPackageName,versionOfInterest,versionOfInterestReleaseDate
pzuraq/liquid-wormhole,liquid-wormhole,2.0.6,2017-07-10T18:46:34.162Z
netflix/pollyjs/tree/master/packages/@pollyjs/adapter-node-http,@pollyjs/adapter-node-http,2.6.1,2019-08-01T16:54:21.840Z
primus/primus,primus,5.2.2,2016-06-13T09:59:09.745Z
jfromaniello/npm-install-retry,npm-install-retry,1.1.0,2016-11-04T18:40:48.551Z
stylelint/stylelint-rule-tester,stylelint-rule-tester,0.4.0,2015-11-08T15:07:11.973Z
adobe/aio-lib-core-logging,@adobe/aio-lib-core-logging,0.0.3,2019-09-26T09:04:48.487Z
nihey/react-clipboard.js,react-clipboard.js,2.0.2,2018-11-28T16:59:39.016Z
revolunet/react-mailchimp-subscribe,react-mailchimp-subscribe,1.0.1,2017-06-12T15:51:26.047Z
download/just-wait,just-wait,1.0.4,2016-02-16T11:08:48.678Z
TeamFleet/KCKit,kckit,1.13.1,2017-09-06T03:33:19.664Z
sodium-friends/sodium-universal,sodium-universal,3.0.3,2020-11-13T15:36:18.376Z
ShinyAds/node-google-dfp,node-google-dfp,0.3.2,2018-04-03T17:15:42.320Z
alfa-laboratory/arui-feather,arui-feather,4.5.0,2017-05-25T09:02:17.512Z
bendrucker/document-ready,document-ready,1.0.3,2016-08-31T14:47:48.819Z
feathersjs-ecosystem/feathers-rest,feathers-rest,1.7.1,2017-03-02T02:25:50.838Z
christianalfoni/markdown-to-react-components,markdown-to-react-components,0.1.4,2015-12-28T15:48:22.729Z
mjpearson/passport-slack,passport-slack,0.0.3,2015-07-13T22:12:41.572Z
titarenko/fix-phone,fix-phone,1.2.17,2017-12-21T11:30:19.317Z
vaadin/vaadin-details,@vaadin/vaadin-details,1.0.0,2019-02-04T08:04:10.736Z
freeformsystems/cli-rc,cli-rc,1.0.12,2015-07-20T08:02:17.122Z
medikoo/stream-promise,stream-promise,1.0.0,2015-06-02T11:41:00.331Z
wheresrhys/protips,protips,1.0.2,2016-06-28T21:43:40.410Z
mailgun/mailgun-js,mailgun.js,1.0.2,2015-10-25T05:41:46.875Z
kartik-v/bootstrap-fileinput,bootstrap-fileinput,4.4.5,2017-10-01T13:15:19.758Z
Shopify/js-buy-sdk,shopify-buy,0.3.4,2016-10-19T21:55:58.001Z
remarkjs/remark-lint/tree/main/packages/remark-lint-rule-style,remark-lint-rule-style,1.0.2,2018-06-04T14:18:49.724Z
AndreasMadsen/execspawn,execspawn,1.0.1,2016-02-29T16:06:03.087Z
fknop/angular-pipes,angular-pipes,8.1.1,2018-08-29T10:42:26.852Z
SoftwareBrothers/admin-bro-design-system,@admin-bro/design-system,1.1.0,2020-07-25T20:30:34.629Z
git@gitlab.appirio.com:appirio-dx/node-appirio,@appirio/appirio,1.7.2,2018-12-13T07:15:34.220Z
jslicense/spdx-expression-parse.js,spdx-expression-parse,2.0.1,2017-06-08T06:09:47.812Z
lukehorvat/module,module,1.2.1,2016-04-14T14:49:18.678Z
ceejbot/fivebeans,fivebeans,1.5.0,2016-08-28T19:34:16.018Z
vincit/objection-db-errors,objection-db-errors,1.0.0,2018-01-11T09:12:59.839Z
TraverseData/sails-dynamodb,@traverse-data/sails-dynamodb,1.1.2,2019-02-05T22:10:17.879Z
jdxcode/qqjs,qqjs,0.3.5,2018-04-09T03:37:34.222Z
guyellis/multi-level-cache,multi-level-cache,0.0.13,2015-05-06T14:26:44.294Z
killmenot/parse-data-url,parse-data-url,0.1.5,2017-08-15T11:46:21.215Z
cryptape/nervos.js/tree/master/packages/nervos-signer,@nervos/signer,1.0.21,2018-07-20T07:20:02.067Z
MyNameReallySux/string-utils,@beautiful-code/string-utils,0.2.2,2020-09-05T00:52:16.573Z
JS-DevTools/file-path-filter,@jsdevtools/file-path-filter,2.2.2,2020-02-16T14:32:39.309Z
vire/jest-vue-preprocessor,jest-vue-preprocessor,1.0.1,2017-06-08T21:09:55.177Z
undefined/demo,@beisen/tms-react,0.3.49,2019-08-12T06:35:50.560Z
zeusdeux/observe-element-in-viewport,observe-element-in-viewport,0.0.1,2018-05-17T08:52:14.361Z
octet-stream/eslint-config,@octetstream/eslint-config,3.1.0,2019-06-28T08:36:44.780Z
rrweb-io/rrweb-player,rrweb-player,0.3.16,2019-08-29T08:11:22.332Z
cibernox/ember-text-measurer,ember-text-measurer,0.4.0,2017-10-18T14:38:20.066Z
vercel/pkg,pkg,4.2.2,2017-08-06T10:42:13.151Z
twolfson/grunt-curl,grunt-curl,2.4.0,2017-11-02T06:50:31.464Z
samverschueren/listr-verbose-renderer,listr-verbose-renderer,0.2.1,2016-12-06T08:44:33.992Z
fastify/env-schema,env-schema,0.1.0,2019-02-15T15:31:30.624Z
ember-engines/ember-engines,ember-engines,0.5.3,2017-05-06T17:38:40.907Z
shannonmoeller/handlebars-wax,handlebars-wax,6.1.0,2017-04-13T18:23:49.048Z
ivantsov/redux-subscriber,redux-subscriber,1.1.0,2016-12-17T21:16:57.970Z
microsoft/rushstack/tree/master/apps/api-extractor-model,@microsoft/api-extractor-model,7.7.11,2020-04-08T04:08:05.685Z
github-tools/github,github-api,3.2.3,2019-08-25T22:45:44.303Z
sealninja/react-i18nify,react-i18nify,1.7.0,2016-12-12T14:01:59.727Z
tclindner/hipchat-room-notification-api,hipchat-room-notification-api,2.0.0,2018-06-02T15:26:35.046Z
cst/cst,cst,0.0.18,2016-01-10T20:33:59.974Z
polkadot-js/ts,@polkadot/ts,0.3.26,2020-06-05T20:15:50.032Z
prosemirror/prosemirror-inputrules,prosemirror-inputrules,0.12.0,2016-10-21T11:24:28.871Z
babel/babel/tree/master/packages/babel-plugin-transform-es2015-spread,babel-plugin-transform-es2015-spread,6.0.2,2015-10-29T18:15:35.800Z
joepie91/scrypt-for-humans,scrypt-for-humans,2.0.3,2016-03-05T23:19:51.451Z
indus/ncc,ncc,0.3.3,2017-05-15T09:49:18.842Z
electron-userland/electron-packager,electron-packager-tf,5.2.3,2016-03-02T15:47:50.081Z
UltCombo/gulp-buster,gulp-buster,1.0.1,2016-04-28T05:07:52.104Z
kensho/check-more-types,check-more-types,1.9.2,2015-09-01T21:13:01.010Z
Jam3/nice-color-palettes,nice-color-palettes,1.0.0,2016-06-14T21:27:03.125Z
elliotf/chai-fuzzy,chai-fuzzy,1.6.0,2015-08-17T14:36:04.021Z
gpujs/gpu.js,gpu.js,1.10.1,2018-11-01T17:00:06.650Z
FunctionRun/FEscaffold,hy-map,0.3.35,2018-04-20T02:36:40.900Z
thenativeweb/commands-events,commands-events,1.0.4,2019-01-08T20:05:10.912Z
PolymerElements/iron-overlay-behavior,@polymer/iron-overlay-behavior,0.0.3,2016-02-03T00:26:20.876Z
googlemaps/js-api-loader,@googlemaps/js-api-loader,1.10.0,2020-11-13T22:04:35.442Z
samora/parse-geocoder,parse-geocoder,0.1.0,2015-07-09T20:09:32.087Z
sindresorhus/ink-gradient,ink-gradient,0.1.0,2018-04-02T05:24:53.043Z
maoberlehner/css-selector-extract,css-selector-extract,3.1.2,2017-08-11T03:25:21.143Z
inikulin/cp-swag,cp-sugar,1.0.1,2019-11-15T15:40:12.829Z
hipstersmoothie/storybook-pretty-props,storybook-pretty-props,1.1.2,2020-06-09T16:33:48.075Z
hashicorp/prebuild-webpack-plugin,prebuild-webpack-plugin,1.1.1,2020-08-03T19:05:52.304Z
nodejs/core-validate-commit,core-validate-commit,2.2.0,2016-09-20T13:31:40.367Z
LinusU/fs-xattr,fs-xattr,0.1.9,2015-08-13T06:58:25.501Z
FormidableLabs/react-native-app-auth,react-native-app-auth,5.1.0,2020-02-26T15:49:48.951Z
electron/electron-rebuild,electron-rebuild,1.2.0,2016-08-08T18:59:27.480Z
CMoyle336/ng-salesforce,ng-salesforce,0.1.101,2018-05-31T14:27:34.046Z
vuejs/vue-cli,@vue/cli-shared-utils,3.4.0,2019-01-31T18:44:57.858Z
census-instrumentation/opencensus-node,@opencensus/core,0.0.3,2018-08-02T16:46:22.944Z
drodrigues/node-correlation,node-correlation,1.0.0,2016-01-06T18:18:33.604Z
eddyerburgh/jest-serializer-vue,jest-serializer-vue,1.0.0,2018-03-08T14:27:50.451Z
yortus/asyncawait,asyncawait,1.0.3,2016-02-10T02:59:31.694Z
jczaplew/csv-express,csv-express,1.1.0,2015-10-16T14:06:34.032Z
glebmachine/node-localcache,node-localcache,0.1.3,2015-12-17T15:47:31.980Z
omnidan/node-emoji,node-emoji,1.6.1,2017-07-07T14:39:29.448Z
nightscout/share2nightscout-bridge,share2nightscout-bridge,0.0.3,2015-03-14T21:17:57.604Z
retextjs/retext-indefinite-article,retext-indefinite-article,1.0.0,2016-08-21T11:51:40.290Z
openpgpjs/openpgpjs,openpgp,0.10.3,2015-02-13T09:18:18.768Z
crypto-browserify/browserify-aes,browserify-aes,1.0.7,2017-09-05T10:22:48.884Z
matteocng/react-flag-icon-css,react-flag-icon-css,1.0.15,2017-05-17T07:05:05.245Z
misantron/datatables-bootstrap3-plugin,datatables-bootstrap3-plugin,0.4.0,2015-03-03T19:48:52.189Z
st-h/ember-content-editable,ember-content-editable,0.3.9,2015-08-19T09:40:32.081Z
karma-runner/karma-coverage,karma-coverage,1.1.2,2018-05-03T16:02:42.948Z
apollographql/apollo-test-utils,apollo-test-utils,0.2.2,2017-03-22T17:50:39.341Z
SBoudrias/mem-fs,mem-fs,1.1.3,2016-05-09T05:26:54.847Z
getgauge/gauge,@getgauge/cli,1.0.6,2019-08-26T06:02:27.443Z
webex/spark-js-sdk/tree/master/packages/node_modules/@ciscospark/internal-plugin-wdm,@ciscospark/internal-plugin-wdm,1.43.4,2018-11-05T18:13:35.454Z
uNmAnNeR/imaskjs/tree/master/packages/react-imask,react-imask,3.4.0,2018-06-01T08:12:09.536Z
ladariha/junitxml-to-javascript,junitxml-to-javascript,1.1.0,2019-01-10T13:10:55.103Z
es-shims/object-is,object-is,1.1.2,2020-04-14T19:51:20.748Z
zertosh/eslint-plugin-dependencies,eslint-plugin-dependencies,1.3.0,2016-05-26T17:08:57.415Z
adaltas/node-stream-transform,stream-transform,2.0.1,2019-06-08T11:07:53.333Z
phtj/gs-json,gs-json,0.1.41,2018-01-30T04:42:06.380Z
prisma/lift,@prisma/lift,0.3.169,2019-12-04T12:46:22.124Z
ivogabe/gulp-typescript,gulp-typescript,2.4.0,2015-01-20T13:37:15.972Z
shahnawaz/react-native-barcode-mask,react-native-barcode-mask,1.2.4,2020-06-22T13:38:16.470Z
blackbaud/skyux-inline-form,@skyux/inline-form,4.1.0,2020-08-27T21:28:16.777Z
sinnerschrader/patternplate-transform-react-to-markup,patternplate-transform-react-to-markup,1.0.2,2016-11-12T18:50:08.046Z
bpmn-io/ids,ids,0.2.1,2018-05-07T20:20:36.014Z
amrav/restify-jwt,restify-jwt,0.3.0,2015-10-08T00:00:33.019Z
seldo/hapi-mysql,hapi-mysql,1.0.7,2015-05-23T02:07:08.544Z
sindresorhus/eslint-plugin-unicorn,eslint-plugin-unicorn,1.0.0,2016-09-20T06:08:52.104Z
sindresorhus/is-relative-url,is-relative-url,3.0.0,2019-04-06T11:17:05.790Z
apifytech/apify-client-js,apify-client,1.0.0,2020-12-09T09:49:03.623Z
webpack-contrib/mocha-loader,mocha-loader,5.1.2,2020-07-31T11:58:05.942Z
CarPalFleet/JavaScript-SDK,carpal,0.0.29,2017-11-01T07:21:11.962Z
sodium-friends/sodium-native,sodium-native,1.3.3,2017-02-04T03:17:30.448Z
Reglendo/mergado-ui-kit,mergado-ui-kit,1.9.0,2017-08-15T13:45:00.689Z
hg-pyun/axios-logger,axios-logger,2.4.0,2020-08-24T00:13:57.082Z
meetearnest/global-request-logger,global-request-logger,0.1.0,2016-07-20T15:37:09.435Z
gregberge/svgr/tree/master/packages/webpack,@svgr/webpack,5.1.0,2020-01-20T15:33:58.285Z
AviVahl/ts-tools/tree/master/packages/webpack-loader,@ts-tools/webpack-loader,0.3.3,2018-10-18T23:11:42.779Z
apiaryio/protagonist,protagonist,1.6.6,2017-03-15T09:51:14.204Z
moimikey/locale2,locale2,2.0.0,2015-11-20T18:06:52.924Z
JetBrains/svg-mixer/tree/v1/packages/svg-baker-runtime,svg-baker-runtime,1.2.93,2017-05-10T13:14:47.068Z
josephg/node-browserchannel,browserchannel,2.1.0,2017-05-03T23:35:26.502Z
ManuCutillas/ngx-responsive,ngx-responsive,5.0.6,2018-04-11T20:27:41.028Z
chadhietala/babel-debug-macros,babel-plugin-debug-macros,0.1.0,2017-03-25T17:09:53.064Z
matanshiloah/xml-parser,react-xml-parser,1.1.1,2019-02-02T06:06:08.664Z
do-web/curl-request,curl-request,1.0.2,2017-12-07T20:13:26.313Z
martim00/python-webpack-loader,py-loader,0.1.3,2017-09-09T03:09:29.402Z
paulwhitaker/gatsby-plugin-portal,gatsby-plugin-portal,1.0.5,2019-02-07T05:56:19.919Z
nitrogenjs/client,nitrogen,0.2.21,2015-01-03T00:27:45.615Z
codesandbox-app/codesandbox-importers,codesandbox,1.2.0,2018-02-28T16:55:25.105Z
bolt-design-system/bolt/tree/master/packages/components/bolt-background,@bolt/components-background,1.4.1,2018-05-25T20:32:38.447Z
neoclide/coc-git,coc-git,1.3.3,2019-06-04T11:26:02.905Z
keithamus/hbs-cli,hbs-cli,1.1.0,2016-06-22T18:17:40.595Z
Xotic750/make-jasmine-spec-runner-html,make-jasmine-spec-runner-html,1.2.0,2017-07-02T11:12:15.379Z
mailcharts/animated-gif-detector,animated-gif-detector,1.1.4,2015-11-05T01:54:39.486Z
ashi009/node-fast-crc32c,fast-crc32c,1.0.4,2016-07-04T12:55:01.596Z
saikatharryc/pm2-prometheus-exporter,pm2-metrics,1.0.13,2019-03-12T13:25:47.857Z
zeke/standard-markdown,standard-markdown,5.0.1,2018-09-14T17:29:07.179Z
wl879/leveldb-addon,leveldb-addon,2.0.1,2017-10-06T04:48:04.135Z
ember-cli/ember-page-title,ember-page-title,3.0.1,2016-05-03T13:39:56.013Z
pgilad/gulp-sort,gulp-sort,1.1.0,2015-05-08T19:02:01.230Z
thenativeweb/flaschenpost,flaschenpost,0.8.0,2015-01-27T09:06:09.769Z
webpack-contrib/polymer-webpack-loader,polymer-webpack-loader,2.0.2,2018-03-10T22:28:21.779Z
shinnn/rimraf-promise,rimraf-promise,2.0.0,2015-10-20T10:53:24.685Z
bleenco/ngx-uploader,ngx-uploader,8.0.0,2019-12-13T13:40:01.732Z
valor-software/ng2-select,ng2-select,0.44.0,2015-10-19T22:24:42.284Z
origin1tech/gulp-html-minifier,gulp-html-minifier,0.1.8,2016-01-08T18:40:38.586Z
kukhariev/ngx-uploadx,ngx-uploadx,3.5.1,2020-07-20T09:04:53.977Z
ForbesLindesay/spawn-sync,spawn-sync,1.0.5,2015-02-16T09:05:14.695Z
alex-cory/react-useportal,react-useportal,0.1.15,2019-02-20T04:57:54.722Z
dfcreative/bitmap-sdf,bitmap-sdf,1.0.2,2018-01-05T20:32:44.898Z
material-components/material-components-web-components,@material/mwc-base,0.9.1,2019-09-30T21:04:43.235Z
jmcriffey/babel-istanbul,babel-istanbul,0.5.5,2015-11-10T19:45:35.488Z
bluelovers/ws-segment,segment-dict,2.0.51,2018-08-01T22:14:41.061Z
koa-modules/morgan,koa-morgan,0.4.0,2015-09-24T01:17:40.530Z
mattjmorrison/grunt-karma-coveralls,grunt-karma-coveralls,2.5.4,2015-08-07T13:22:04.288Z
originate/lodash-checkit,lodash-checkit,2.3.0,2019-04-02T21:47:18.715Z
Brayyy/node-consulea,consulea,1.1.4,2018-01-15T05:00:17.822Z
bezoerb/postcss-discard,postcss-discard,1.0.1,2020-09-07T05:34:33.525Z
azu/style-format,@azu/style-format,0.0.1,2016-05-14T03:37:14.726Z
compulim/react-say,react-say,1.2.0,2019-05-28T23:09:53.792Z
pzuraq/ember-classy-page-object,ember-classy-page-object,0.4.8,2018-04-20T23:08:17.322Z
nteract/kernelspecs,kernelspecs,0.0.1,2016-01-21T22:34:50.678Z
appfeel/node-pushnotifications,node-pushnotifications,1.6.0,2020-12-27T21:53:25.096Z
dustinjackson/html-webpack-inline-source-plugin,html-webpack-inline-source-plugin,0.0.6,2016-12-21T15:14:40.717Z
snyamathi/semver-intersect,semver-intersect,1.2.0,2017-12-23T19:44:21.282Z
appoptics/appoptics-bindings-node,appoptics-bindings,5.6.0,2018-10-19T12:13:03.799Z
Marcura/portlog-common-ui,marcura,0.1.89,2018-03-26T17:32:08.902Z
wynfred/ngx-masonry,ngx-masonry,0.5.4,2017-11-21T01:06:09.425Z
pghalliday/grunt-mocha-test,grunt-mocha-test,0.12.7,2015-01-20T18:52:08.889Z
OrKoN/native-exec,native-exec,0.1.3,2017-06-29T15:41:22.934Z
reactive-elements/reactive-elements,reactive-elements,0.6.2,2015-11-04T15:37:15.355Z
w8r/Leaflet.Path.Drag,leaflet-path-drag,0.1.16,2016-09-01T23:05:44.155Z
ChristianMurphy/postcss-combine-duplicated-selectors,postcss-combine-duplicated-selectors,9.4.0,2020-09-27T19:58:18.470Z
sindresorhus/observable-to-promise,observable-to-promise,0.3.0,2016-01-15T19:02:07.254Z
spryker/oryx-for-zed,@spryker/oryx-for-zed,0.5.5,2017-03-29T09:22:25.764Z
500tech/angular2-tree-component,angular2-tree-component,1.3.4,2016-10-18T07:24:58.302Z
ofrobots/inline-fixtures,inline-fixtures,1.0.1,2019-04-11T20:41:39.148Z
git@github.com:styled-components/jest-styled-components,jest-styled-components,4.4.1,2017-08-19T06:35:23.342Z
SPEAKUI/sc-cast,sc-cast,2.0.0,2015-11-25T06:58:48.961Z
es-shims/RegExp.prototype.flags,regexp.prototype.flags,1.1.0,2015-08-16T09:08:44.729Z
js-kyle/connect-assets,connect-assets,5.2.2,2016-06-19T15:29:00.574Z
souporserious/react-view-pager,react-view-pager,0.5.1,2017-05-10T08:05:57.980Z
facebook/metro,metro-react-native-babel-preset,0.48.0,2018-10-05T19:09:55.225Z
jfairbank/redux-saga-test-plan,redux-saga-test-plan,2.4.4,2017-04-28T13:45:34.558Z
jscs-dev/gulp-jscs,gulp-jscs,4.1.0,2017-12-31T00:37:21.982Z
konfirm/gulp-chain,gulp-chain,1.0.2,2015-06-06T10:22:18.929Z
kikobeats/sails-hook-winston,sails-hook-winston,1.0.0,2016-03-20T20:37:45.652Z
douzi8/ajax-request,ajax-request,1.2.0,2015-03-25T02:54:18.114Z
poooi/plugin-prophet,poi-plugin-prophet,3.6.3,2015-11-24T06:39:44.276Z
ali322/nva/tree/master/packages/nva-test-e2e,nva-test-e2e,0.6.9,2019-04-12T08:27:48.136Z
dignifiedquire/lock-me,lock-me,1.0.4,2018-05-22T10:46:47.571Z
jonschlinkert/export-files,export-files,2.1.1,2016-01-29T06:37:11.374Z
nathanstitt/react-braintree-fields,react-braintree-fields,0.4.0,2017-06-13T02:05:47.297Z
JamesHemery/gulp-append-prepend,gulp-append-prepend,1.0.2,2016-07-11T02:26:15.730Z
jaredpalmer/formik-persist,formik-persist,1.0.0,2017-10-02T20:32:54.448Z
wikimedia/service-runner,service-runner,1.1.4,2016-02-09T21:10:46.790Z
ember-cli/ember-cli-mocha,ember-cli-mocha,0.9.1,2015-07-13T21:03:13.415Z
daquinoaldo/https-localhost,https-localhost,3.0.0,2019-02-09T19:56:40.008Z
maxleiko/npmi,npmi,3.0.0,2017-07-27T13:10:05.532Z
sockjs/sockjs-node,sockjs,0.3.19,2017-10-12T16:23:58.269Z
Submersible/node-python-bridge,python-bridge,1.0.1,2017-07-21T17:52:13.607Z
fragaria/address-formatter,@fragaria/address-formatter,2.3.0,2020-10-31T09:45:31.499Z
ErrorPro/react-google-autocomplete,react-google-autocomplete,1.0.14,2017-10-13T14:16:32.265Z
rasphilco/log-chopper,log-chopper,1.0.0,2017-06-05T20:24:28.222Z
git@192.168.0.8:f2e/react-wxeap,react-wxeap,0.5.18,2017-04-01T11:25:05.362Z
fkhadra/react-on-screen,react-on-screen,1.0.0,2016-08-14T11:39:10.120Z
strongloop-forks/strong-fork-pushover,strong-fork-pushover,1.3.8,2015-01-14T01:50:11.565Z
zkochan/npm-conf,@zkochan/npm-conf,1.2.4,2019-03-08T20:20:53.746Z
fczuardi/controltower,controltower,0.14.5,2016-10-07T20:31:50.478Z
balena-io-modules/node-metrics-gatherer,@balena/node-metrics-gatherer,5.7.0,2020-05-22T17:13:24.384Z
webpack-contrib/expose-loader,expose-loader,1.0.2,2020-11-25T14:54:45.360Z
ULL-ESIT-SYTW-1617/crear-repositorio-en-github-ericlucastania-1,gitbook-start-elt,0.3.76,2016-10-31T13:25:44.080Z
processout/processout-node,processout,5.0.10,2016-12-09T21:45:06.059Z
wesselvanderlinden/binarynator,binarynator,0.0.3,2020-03-05T12:02:16.609Z
DoctorMcKay/node-binarykvparser,binarykvparser,2.0.1,2016-06-28T19:17:37.231Z
wix/draft-js,@wix/draft-js,0.10.163,2018-07-03T06:30:55.404Z
netlify/netlify-redirect-parser,netlify-redirect-parser,2.2.0,2020-01-07T14:32:54.407Z
Cloud-Automation/node-modbus,jsmodbus,2.0.2,2016-12-11T11:54:18.287Z
deepsweet/hocs,@hocs/debounce-handler,0.2.0,2017-08-19T17:35:12.892Z
strongloop/strong-registry,strong-registry,1.1.4,2015-01-13T04:12:53.842Z
Caged/d3-tip,d3-tip,0.9.0,2018-05-01T16:40:14.628Z
dpjanes/iotdb-helpers,iotdb-helpers,3.2.19,2018-07-30T19:11:24.569Z
cape-io/lodash-humps,lodash-humps,3.1.0,2017-06-20T20:02:26.875Z
bozzltron/node-json-transform,node-json-transform,1.0.10,2016-10-24T01:36:48.663Z
docstrap/docstrap,ink-docstrap,1.1.0,2015-12-20T06:49:20.347Z
martndemus/ember-cli-font-awesome,ember-cli-font-awesome,1.5.2,2016-06-15T10:04:03.516Z
vaso2/nuxt-vue-material,nuxt-vue-material,0.0.3,2017-12-12T00:48:11.755Z
airtap/airtap,airtap,2.0.3,2019-07-12T10:01:20.392Z
taye/interact.js,interactjs,1.9.9,2020-04-06T18:48:08.271Z
toboid/express-correlation-id,express-correlation-id,1.0.2,2017-01-04T20:41:01.077Z
jsreport/jsreport-html-to-xlsx,jsreport-html-to-xlsx,0.2.0,2015-12-10T12:30:45.851Z
johnotander/css-color-list,css-color-list,0.0.2,2017-06-02T15:25:36.870Z
jhamlet/svg-react-loader,svg-react-loader,0.3.1,2015-11-03T14:03:42.637Z
bestguy/sveltestrap,sveltestrap,3.2.5,2019-10-13T17:58:04.165Z
shahata/jsdelivr-cdn-data,jsdelivr-cdn-data,1.0.4,2019-09-25T12:34:39.080Z
eknkc/babel-preset-async-to-bluebird,babel-preset-async-to-bluebird,1.1.0,2016-05-19T20:31:00.108Z
sharadJay/nightwatch-allure-adapter,nightwatch-allure-adapter,1.1.5,2015-10-18T09:48:28.713Z
wixplosives/file-services/tree/master/packages/node,@file-services/node,1.0.5,2019-05-09T23:17:07.368Z
benjamn/optimism,optimism,0.11.0,2019-09-16T19:26:08.554Z
remarkablemark/style-to-js,style-to-js,1.1.0,2020-11-22T22:30:45.835Z
filestack/filestack-react,filestack-react,1.1.2,2017-08-05T07:24:20.840Z
fullcalendar/fullcalendar-vue,@fullcalendar/vue,5.0.0,2020-06-22T02:16:26.116Z
fastify/fastify-websocket,fastify-websocket,1.0.0,2019-11-18T21:10:42.654Z
joyent/node-tab,tab,1.0.0,2016-06-24T00:58:22.091Z
JacksonGariety/gulp-nodemon,gulp-nodemon,2.4.1,2018-11-03T00:09:20.360Z
NoriSte/cypress-otp,cypress-otp,1.0.2,2019-05-30T11:21:10.810Z
atlassian/react-beautiful-dnd,react-beautiful-dnd,12.2.0,2019-12-05T03:40:53.894Z
dmlemeshko/ms-edge-driver,ms-chromium-edge-driver,0.0.2,2020-04-01T10:58:37.757Z
mrjoelkemp/node-source-walk,node-source-walk,2.0.0,2015-06-27T18:49:37.915Z
hapijs/cryptiles,cryptiles,2.0.5,2015-09-09T06:09:37.482Z
Up-Group/react-controls,@up-group/react-controls,0.0.305,2017-09-20T07:46:17.792Z
sethvincent/read-directory,read-directory,3.0.0,2017-10-22T18:04:48.479Z
amireh/canvas_react_i18n,canvas_react_i18n,1.2.0,2015-01-13T21:22:11.319Z
andrewkeig/express-validation,express-validation,2.0.0,2020-02-28T00:29:14.791Z
gkz/LiveScript,livescript,1.5.0,2016-05-15T19:36:24.310Z
https://git.rootprojects.org/root/x509.js,@root/x509,0.7.1,2019-10-13T09:45:52.877Z
syncfusion/ej2-javascript-ui-controls/tree/master/controls/notifications,@syncfusion/ej2-notifications,16.2.41,2018-06-25T09:03:49.258Z
webpro/bump-file,bump-file,2.0.0,2019-01-07T12:54:20.987Z
browserify/browser-pack,browser-pack,4.0.0,2015-02-06T16:39:52.439Z
alltherooms/metromatic,metromatic,0.1.0,2015-06-01T22:16:54.243Z
ysimsek/karcin-ui,karcin-ui,1.0.27,2018-03-15T07:45:05.162Z
jon-sully/gatsby-plugin-force-trailing-slashes/,gatsby-plugin-force-trailing-slashes,1.0.0,2018-07-15T17:49:25.670Z
igocreate/igo,igo,2.3.19,2017-02-21T14:49:17.079Z
inferusvv/react-odometerjs,react-odometerjs,1.1.1,2017-11-03T14:16:50.652Z
ryanseddon/react-frame-component,react-frame-component,0.5.0,2016-02-10T02:53:48.532Z
iron-io/iron_worker_node,iron_worker,0.1.4,2015-03-11T06:09:28.338Z
webex/spark-js-sdk/tree/master/packages/node_modules/@ciscospark/plugin-logger,@ciscospark/plugin-logger,0.7.3,2016-11-22T19:29:54.823Z
SeyZ/jsonapi-serializer,jsonapi-serializer,3.5.1,2017-04-04T08:00:13.942Z
react-component/time-picker,rc-time-picker,2.1.0,2016-10-25T09:52:21.586Z
finbourne/lusid-sdk-js-preview,@finbourne/lusid-preview,0.11.2045,2020-09-28T11:55:06.271Z
urish/angular-spinner,angular-spinner,0.7.0,2015-09-09T10:11:42.402Z
scottgonzalez/node-browserstack,browserstack,1.5.2,2019-01-10T01:14:44.921Z
webtorrent/create-torrent,create-torrent,3.10.3,2015-05-12T09:31:17.415Z
theogravity/node-cache-manager-memcached,cache-manager-memcached-store,1.1.0,2016-07-14T05:55:19.667Z
vtex/node-vtex-api,@vtex/api,3.29.1,2019-07-09T20:08:38.038Z
pensierinmusica/email-check,email-check,0.0.0,2015-08-21T01:03:31.386Z
PayFit/eslint-config-payfit,eslint-config-payfit,2.0.1,2019-11-14T18:44:59.950Z
lahmatiy/open-in-editor,open-in-editor,1.0.1,2015-09-24T18:26:37.625Z
CookPete/react-player,react-player,0.22.0,2017-09-03T09:47:28.459Z
csstools/postcss-color-functional-notation,postcss-color-functional-notation,3.0.2,2020-04-25T05:51:53.862Z
camshaft/superagent-defaults,superagent-defaults,0.1.10,2015-01-09T21:38:50.283Z
gathercontent/gather-ui,gather-content-ui,0.3.23,2017-08-30T10:11:16.227Z
TryGhost/Koenig.git#master,@tryghost/kg-parser-plugins,1.0.9,2020-10-19T15:59:12.805Z
suitcss/stylelint-suitcss,stylelint-suitcss,1.0.0,2017-03-01T18:12:50.455Z
acvetkov/sinon-chrome,sinon-chrome,2.0.3,2016-10-06T15:26:39.344Z
preactjs/preact-cli,preact-cli,2.1.3,2018-02-13T20:24:22.071Z
mwouts/jupytext,jupyterlab-jupytext,1.2.1,2020-03-18T23:29:41.399Z
azu/can-npm-publish,can-npm-publish,1.3.1,2018-07-09T08:29:57.847Z
CycloneDX/cyclonedx-node-module,@cyclonedx/bom,0.2.2,2018-07-18T03:03:40.932Z
davidyaha/graphql-redis-subscriptions,graphql-redis-subscriptions,2.3.1,2020-09-03T09:16:17.018Z
PanayotCankov/mocha-typescript,mocha-typescript,1.1.2,2017-04-29T18:27:16.700Z
sidorares/named-placeholders,named-placeholders,1.1.2,2018-11-07T03:10:27.123Z
